wagnum,month,target_month,target_day,60d_opor_station_sign_max,5d_st_river_sign_mean,60d_st_border_sign_mean,60d_st_car_sign_max,30d_st_car_sign_max,60d_avg_distance_max,5d_st_sea_sign_max,30d_st_freigh_sign_mean,10d_st_sea_sign_mean,60d_st_freigh_sign_max,10d_avg_distance_max,60d_st_sea_sign_mean,10d_opor_station_sign_mean,10d_naliv_mean,30d_diff_mean,30d_st_border_sign_mean,30d_st_freigh_sign_max,60d_st_freigh_sign_mean,30d_st_border_sign_max,5d_opor_station_sign_max,60d_st_ferry_sign_mean,5d_st_ferry_sign_max,10d_st_ferry_sign_mean,60d_naval_mean,10d_st_freigh_sign_mean,5d_st_sea_sign_mean,5d_skoroport_mean,10d_st_border_sign_mean,10d_opor_station_sign_max,5d_st_freigh_sign_mean,30d_opor_station_sign_mean,60d_opor_station_sign_mean,5d_openvagons_mean,10d_st_car_sign_max,60d_openvagons_mean,30d_openvagons_mean,5d_st_border_sign_max,10d_diff_mean,5d_diff_mean,10d_st_river_sign_mean,60d_st_sea_sign_max,60d_st_car_sign_mean,10d_another_road_max,60d_naliv_mean,10d_naval_mean,10d_skoroport_mean,5d_opor_station_sign_mean,30d_nasip_mean,10d_soprovod_mean,30d_isload_mean,60d_nasip_mean,60d_st_river_sign_max,60d_diff_mean,10d_nasip_mean,30d_avg_distance_max,5d_st_border_sign_mean,30d_naval_mean,5d_avg_distance_min,60d_skoroport_mean,5d_avg_distance_max,60d_isload_mean,10d_openvagons_mean,30d_st_sea_sign_mean,10d_smerz_mean,5d_smerz_mean,10d_isload_mean,10d_st_ferry_sign_max,5d_another_road_max,5d_soprovod_mean,30d_naliv_mean,5d_naval_mean,5d_st_car_sign_max,30d_st_ferry_sign_mean,60d_st_river_sign_mean,5d_naliv_mean,60d_st_ferry_sign_max,10d_st_border_sign_max,10d_st_freigh_sign_max,30d_st_car_sign_mean,10d_avg_distance_min,5d_st_car_sign_mean,30d_another_road_max,5d_st_ferry_sign_mean,30d_smerz_mean,30d_opor_station_sign_max,10d_st_river_sign_max,60d_smerz_mean,30d_soprovod_mean,30d_st_river_sign_max,30d_skoroport_mean,5d_st_freigh_sign_max,10d_st_sea_sign_max,30d_avg_distance_min,60d_st_border_sign_max,30d_st_ferry_sign_max,5d_st_river_sign_max,30d_st_river_sign_mean,30d_st_sea_sign_max,60d_soprovod_mean,60d_another_road_max,5d_isload_mean,10d_st_car_sign_mean,60d_avg_distance_min,5d_nasip_mean,date_kap,date_dep,kod_vrab,date_pl_rem,days_to_pl_rem,last_rem_date,days_from_last_rem,ost_prob,manage_type,rod_id_x,reestr_state,ownership_type,model,rod_id_y,gruz,cnsi_gruz_capacity,cnsi_volumek,tara,date_build,srok_sl,zavod_build,date_iskl,cnsi_probeg_dr,cnsi_probeg_kr,kuzov,telega,tormoz,tipvozd,tippogl,norma_km,ownertype,expected_srok_sl_y,expected_srok_sl_y_b,date_build_b
11,2023-01-01,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021-03-26,2018-03-31,0,2024-03-26,450,2021-03-26,646,73185,0,0,1,0,11-270,0,688,688,122.0,237,1996-08-14,2027-11-15,1,,110,160,2,9,2,1,11,160000,0,31.273972602739725,long,"(0, 2000]"
12,2023-01-01,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2011-05-30,2019-11-12,0,2022-11-12,-50,2019-11-12,1146,107921,0,0,1,0,11-270,0,688,688,122.0,240,1993-07-17,2024-06-04,1,,110,160,2,9,2,1,2,110000,0,30.904109589041095,long,"(0, 2000]"
13,2023-01-01,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2011-12-24,2021-06-26,1,2024-06-26,542,2021-06-26,554,109529,0,0,1,0,11-270,0,688,688,122.0,240,1996-10-27,2028-12-03,1,,110,160,2,9,3,1,1,160000,0,32.12328767123287,long,"(0, 2000]"
14,2023-01-01,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2013-02-20,2021-12-30,0,2024-12-30,729,2021-12-30,367,119574,0,0,1,0,11-270,0,688,688,122.0,250,1994-12-31,2029-06-18,1,,110,160,2,9,3,1,11,160000,0,34.487671232876714,long,"(0, 2000]"
15,2023-01-01,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021-08-07,2018-05-28,0,2024-08-07,584,2021-08-07,512,92610,0,0,1,0,11-259,0,680,680,120.0,240,1993-11-21,2025-11-24,1,,110,160,2,9,2,4,2,160000,0,32.03013698630137,long,"(0, 2000]"
16,2023-01-01,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2019-04-18,2022-04-08,2,2023-02-01,31,2022-04-08,268,122057,0,0,1,0,11-264,0,680,680,114.0,250,1992-06-03,2024-04-24,1,,110,160,2,9,3,1,1,160000,0,31.912328767123288,long,"(0, 2000]"
17,2023-01-01,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2022-04-16,2019-04-20,2,2023-04-01,90,2022-04-16,260,115197,0,0,1,0,11-264,0,680,680,114.0,250,1990-12-02,2022-06-06,1,,110,160,2,9,2,1,2,0,0,31.53150684931507,long,"(0, 2000]"
18,2023-01-01,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2012-12-25,2022-02-10,2,2023-04-01,90,2022-02-10,325,51864,0,0,1,0,11-264,0,680,680,114.0,250,1993-02-22,2022-04-16,1,,110,160,2,9,1,1,2,110000,0,29.164383561643834,long,"(0, 2000]"
19,2023-01-01,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2011-02-28,2020-04-30,1,2023-04-30,119,2020-04-30,976,16420,0,0,1,0,11-276,0,680,680,122.0,260,1994-05-25,2027-01-02,1,,110,160,2,9,3,1,2,160000,0,32.63013698630137,long,"(0, 2000]"
20,2023-01-01,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2022-04-03,2019-04-23,2,2023-06-01,151,2022-04-03,273,130450,0,0,1,0,11-264,0,680,680,114.0,250,1992-10-22,2024-10-29,1,,110,160,2,9,2,1,2,160000,0,32.04109589041096,long,"(0, 2000]"
21,2023-01-01,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2012-04-17,2021-07-29,2,2023-07-01,181,2021-07-29,521,98512,0,0,1,0,11-264,0,680,680,114.0,243,1991-10-31,2024-08-17,1,,110,160,2,9,2,4,11,160000,0,32.81917808219178,long,"(0, 2000]"
22,2023-01-01,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2011-07-06,2020-12-17,2,2023-09-01,243,2020-12-17,745,87172,0,0,1,0,11-264,0,680,680,114.0,243,1992-01-10,2024-08-13,1,,110,160,2,9,3,1,1,160000,0,32.61369863013699,long,"(0, 2000]"
23,2023-01-01,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2009-12-26,2019-07-08,1,2022-07-08,-177,2019-07-08,1273,115197,0,0,1,0,11-264,0,680,680,114.0,250,1992-02-11,2023-05-24,1,,110,160,2,9,2,1,2,0,0,31.301369863013697,long,"(0, 2000]"
24,2023-01-01,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2009-11-02,2021-05-15,2,2023-09-01,243,2021-05-15,596,108393,0,0,1,0,11-264,0,680,680,114.0,250,1991-12-06,2026-07-23,1,,110,160,2,9,2,1,2,160000,0,34.652054794520545,long,"(0, 2000]"
25,2023-01-01,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2019-05-15,2022-05-10,2,2024-01-01,365,2022-05-10,236,79844,0,0,1,0,11-264,0,680,680,114.0,250,1992-01-06,2025-01-01,1,,110,160,2,9,2,6,11,110000,0,33.010958904109586,long,"(0, 2000]"
26,2023-01-01,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2012-11-26,2022-04-05,2,2024-02-01,396,2022-04-05,271,88022,0,0,1,0,11-264,0,680,680,114.0,248,1993-11-10,2025-07-25,1,,110,160,2,9,2,1,2,110000,0,31.726027397260275,long,"(0, 2000]"
27,2023-01-01,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2009-11-13,2019-06-06,1,2022-06-06,-209,2019-06-06,1305,115197,0,0,1,0,11-264,0,680,680,114.0,249,1992-08-21,2025-11-22,1,,110,160,2,9,2,4,11,0,0,33.276712328767125,long,"(0, 2000]"
28,2023-01-01,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2011-06-24,2022-05-12,2,2024-03-01,425,2022-05-12,234,137770,0,0,1,0,11-264,0,680,680,114.0,243,1991-08-11,2025-07-15,1,,110,160,2,9,3,1,2,160000,0,33.95068493150685,long,"(0, 2000]"
29,2023-01-01,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2012-04-11,2022-04-07,2,2024-04-01,456,2022-04-07,269,121166,0,0,1,0,11-264,0,680,680,114.0,249,1992-08-21,2026-03-03,1,,110,160,2,9,2,6,5,160000,0,33.553424657534244,long,"(0, 2000]"
30,2023-01-01,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2019-04-13,2021-07-22,2,2024-04-01,456,2021-07-22,528,38137,0,0,1,0,11-264,0,680,680,114.0,249,1993-03-28,2023-10-09,1,,110,160,2,9,2,6,11,110000,0,30.553424657534247,long,"(0, 2000]"
31,2023-01-01,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2022-04-22,2019-04-30,2,2024-07-01,547,2022-04-22,254,116461,0,0,1,0,11-264,0,680,680,114.0,248,1993-04-08,2024-03-15,1,,110,160,2,9,2,1,1,160000,0,30.956164383561642,long,"(0, 2000]"
32,2023-01-01,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2017-05-04,2020-05-04,0,2023-05-04,123,2020-05-04,972,67020,0,0,1,0,11-264,0,680,680,114.0,250,1994-02-10,2025-03-12,1,,110,160,2,9,2,4,11,110000,0,31.104109589041094,long,"(0, 2000]"
33,2023-01-01,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2017-05-25,2020-05-08,0,2023-05-08,127,2020-05-08,968,87785,0,0,1,0,11-264,0,680,680,114.0,250,1993-01-29,2023-08-28,1,,110,160,2,9,2,1,1,110000,0,30.5972602739726,long,"(0, 2000]"
34,2023-01-01,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021-11-10,2019-02-27,2,2024-07-01,547,2021-11-10,417,115945,0,0,1,0,11-264,0,680,680,114.0,250,1992-08-21,2024-05-15,1,,110,160,2,9,2,4,11,160000,0,31.753424657534246,long,"(0, 2000]"
35,2023-01-01,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2010-02-26,2019-10-05,1,2022-10-05,-88,2019-10-05,1184,137395,0,0,1,0,11-276,0,680,680,122.0,254,1993-06-09,2027-04-22,1,,110,160,2,9,3,6,15,160000,0,33.89041095890411,long,"(0, 2000]"
36,2023-01-01,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2017-08-15,2020-07-18,0,2023-07-18,198,2020-07-18,897,57671,0,0,1,0,11-264,0,680,680,114.0,250,1994-11-25,2026-03-19,1,,110,160,2,9,2,6,11,160000,0,31.334246575342465,long,"(0, 2000]"
37,2023-01-01,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2019-10-03,2016-08-11,0,2022-10-03,-90,2019-10-03,1186,148834,0,0,1,0,11-276,0,680,680,122.0,250,1994-11-07,2025-07-24,1,,110,160,2,9,2,1,11,160000,1,30.731506849315068,long,"(0, 2000]"
38,2023-01-01,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2022-04-06,2019-04-08,2,2025-01-01,731,2022-04-06,270,126068,0,0,1,0,11-264,0,680,680,114.0,250,1993-09-12,2026-11-05,1,,110,160,2,9,3,1,2,160000,0,33.16986301369863,long,"(0, 2000]"
39,2023-01-01,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021-01-28,2018-02-20,0,2024-01-28,392,2021-01-28,703,46527,0,0,1,0,11-276,0,680,680,122.0,255,1995-04-10,2024-03-04,1,,110,160,2,9,2,1,12,160000,0,28.92054794520548,long,"(0, 2000]"
40,2023-01-01,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2018-08-19,2021-08-17,0,2024-08-17,594,2021-08-17,502,74203,0,0,1,0,11-276,0,680,680,122.0,251,1995-09-05,2026-11-11,1,,110,160,2,9,2,1,1,110000,0,31.205479452054796,long,"(0, 2000]"
41,2023-01-01,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2011-12-19,2020-11-14,0,2023-11-14,317,2020-11-14,778,69661,0,0,1,0,11-276,0,680,680,122.0,260,1996-02-05,2027-07-26,1,,110,160,2,9,2,1,1,160000,0,31.49041095890411,long,"(0, 2000]"
42,2023-01-01,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2011-04-29,2022-03-31,2,2025-01-01,731,2022-03-31,276,120532,0,0,1,0,11-276,0,680,680,122.0,252,1993-09-05,2026-03-28,1,,110,160,2,9,2,1,2,160000,0,32.58082191780822,long,"(0, 2000]"
43,2023-01-01,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2017-04-29,2020-05-02,0,2023-05-02,121,2020-05-02,974,49151,0,0,1,0,11-276,0,680,680,122.0,252,1994-06-03,2025-07-29,1,,110,160,2,9,2,4,12,160000,0,31.175342465753424,long,"(0, 2000]"
44,2023-01-01,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2018-07-26,2021-07-27,0,2024-07-27,573,2021-07-27,523,41365,0,0,1,0,11-276,0,680,680,122.0,250,1995-08-23,2026-05-19,1,,110,160,2,9,2,1,2,110000,0,30.75890410958904,long,"(0, 2000]"
45,2023-01-01,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2017-05-04,2020-04-21,0,2023-04-21,110,2020-04-21,985,45178,0,0,1,0,11-276,0,680,680,122.0,260,1994-05-06,2025-08-06,1,,110,160,2,9,2,1,11,110000,0,31.273972602739725,long,"(0, 2000]"
46,2023-01-01,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2013-06-03,2021-01-23,0,2024-01-23,387,2021-01-23,708,78680,0,0,1,0,11-276,0,680,680,122.0,250,1994-02-10,2025-10-18,1,,110,160,2,9,2,4,11,160000,0,31.706849315068492,long,"(0, 2000]"
47,2023-01-01,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2012-11-23,2021-11-03,0,2024-11-03,672,2021-11-03,424,76133,0,0,1,0,11-276,0,680,680,122.0,250,1995-08-15,2025-06-04,1,,110,160,2,9,2,1,1,160000,0,29.824657534246576,long,"(0, 2000]"
